"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"318","Normal/Others","WS/MP007/2023-2024/3131-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 18  M Ali Lane , Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
"319","Normal/Others","WS/MP007/2023-2024/3132-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 18 Line Talaab , Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
"320","Normal/Others","WS/MP007/2023-2024/3133-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 15 Fatehullah Lane Tahir Gali, Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
"321","Normal/Others","WS/MP007/2023-2024/3134-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 15 Fatehullah Road Fatehullah Maszid , Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
"322","Normal/Others","WS/MP007/2023-2024/3135-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 15 Kalal Toli Irakiya School, Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
"323","Normal/Others","WS/MP007/2023-2024/3136-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 15 Near Vikrant Chowk , Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
"324","Normal/Others","WS/MP007/2023-2024/3137-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 18 R G Street Near Naresh Gupta House, Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
"325","Normal/Others","WS/MP007/2023-2024/3138-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 27 Nivaranpur Near Tapovan Mandir, Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
"326","Normal/Others","WS/MP007/2023-2024/3139-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 18 Mahindra College Near Circular Road, Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
"327","Normal/Others","WS/MP007/2023-2024/3140-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 18 South Samaj Street Near Prakash Nisaad House, Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
"328","Normal/Others","WS/MP007/2023-2024/3141-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 34 Rugri Garh Near Nagar Nigam Sehri Vikash Yojna , Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
"329","Normal/Others","WS/MP007/2023-2024/3142-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 46 Krishna Puri Road No. 1 Near Sharma Ji House , Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
"330","Normal/Others","WS/MP007/2023-2024/3143-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 46 Krishna Puri Road No. 1 Near Hanuman Mandir, Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
"331","Normal/Others","WS/MP007/2023-2024/3144-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No.23 Lah Factory Road Near Anam Tent House, Ranchi","11-Jul-2023","18-Sep-2023","460800","Physical Inspection"
"332","Normal/Others","WS/MP007/2023-2024/3145-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 15 Karbala Chowk , Ranchi","11-Jul-2023","18-Sep-2023","460800","Physical Inspection"
"333","Normal/Others","WS/MP007/2023-2024/3146-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 15 Baldev Sahay Lane, Ranchi","11-Jul-2023","21-Sep-2023","460800","Physical Inspection"
"334","Normal/Others","WS/MP007/2023-2024/3147-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 23 Tiwary Street, Ranchi","11-Jul-2023","18-Sep-2023","460800","Physical Inspection"
"335","Normal/Others","WS/MP007/2023-2024/3148-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No.23 Bhatti Chowk Near Madina Maszid , Ranchi","11-Jul-2023","18-Sep-2023","460800","Physical Inspection"
"336","Normal/Others","WS/MP007/2023-2024/3149-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 22 Nasiruddin Colony Gali No. 4 , Ranchi","11-Jul-2023","18-Sep-2023","460800","Physical Inspection"
"337","Normal/Others","WS/MP007/2023-2024/3150-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 22 Near Usman Maszid, Ranchi","11-Jul-2023","18-Sep-2023","460800","Physical Inspection"
"338","Normal/Others","WS/MP007/2023-2024/3151-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 27 SriNagar Colony Road No. 1  near Virendra Ji House , Ranchi","11-Jul-2023","18-Sep-2023","460800","Physical Inspection"
"339","Normal/Others","WS/MP007/2023-2024/3152-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 27 Sri Nagar Road No. 2 Near Sudhir Sharma House , Ranchi","11-Jul-2023","18-Sep-2023","460800","Physical Inspection"
"340","Normal/Others","WS/MP007/2023-2024/3153-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 29 Jai Prakash Nagar Pahadi Tola Near Ajay Tirkey House , Ranchi","11-Jul-2023","18-Sep-2023","460800","Physical Inspection"
"341","Normal/Others","WS/MP007/2023-2024/3154-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 22 Nezam Nagar Ali Road , Ranchi","11-Jul-2023","18-Sep-2023","460800","Physical Inspection"
"342","Normal/Others","WS/MP007/2023-2024/3155-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 18 R G Street XISS Lane , Ranchi","11-Jul-2023","18-Sep-2023","460800","Physical Inspection"
"343","Normal/Others","WS/MP007/2023-2024/3156-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 22 Nezam Nagar Near Little Garden School , Ranchi","11-Jul-2023","18-Sep-2023","460800","Physical Inspection"
"344","Normal/Others","WS/MP007/2023-2024/3157-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 18 Near CPI Office , Ranchi","11-Jul-2023","18-Sep-2023","460800","Physical Inspection"
"345","Normal/Others","WS/MP007/2023-2024/3158-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 34 Lower Vidya Nagar Near Vipin Ji House , Ranchi","11-Jul-2023","18-Sep-2023","460800","Physical Inspection"
"346","Normal/Others","WS/MP007/2023-2024/3160-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Construction of Cycle and Motorcycle Shade and Beautification work tiles etc in Xavier Institute of Social Service (Affilated by UGC)","11-Jul-2023","06-Oct-2023","1065000","Physical Inspection"
"347","Normal/Others","WS/MP106/2025-2026/3182-Construction of community centers and community halls","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Seth Govind Das ward me Balmiki Samaj ke Jarjar Samudayik Bhavan ke Punah nirman hetu, Vidhansabha Purv Jabalpur, District Jabalpur M.P.","11-Jul-2023","29-Jan-2026","1000000","Sanction"
"348","Normal/Others","WS/MP106/2024-2025/3360-Construction of community centers and community halls","Madhya Pradesh","VIDISHA(District Collector Vidisha_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Kasba Bagrod ki gram panchayat Kasba Bagrod me Samudayik Bhavan ka Nirman, Vidhan Sabha Ganj Basoda, District Vidisha","12-Jul-2023","13-Jun-2024","300000","Physical Inspection"
"349","Normal/Others","WS/MP106/2023-2024/3363-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","KATNI(District Collector Katni_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Punchhi, Janpad Panchayat & Vikaskhand Katni main Aloki Pahad ke pas Samudayik Bhavan parisar me Paver Block Lagane hetu, Vidhansabha Murwara Katni, District Katni","12-Jul-2023","19-Feb-2024","193092","Work Completed"
"350","Normal/Others","WS/MP106/2023-2024/3369-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Madhya Pradesh","SEONI(District Collector Seoni_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Ghansaur, Janpad Ghansaur main sthit Shamshan Ghat main Dhancha, vidhansabha Lakhnadaon, District Seoni (letter no 3058/23 ke column no. 1 main sthit)","12-Jul-2023","28-Feb-2024","200000","Work partially Completed"
"351","Normal/Others","WS/MP106/2023-2024/3370-Construction of community centers and community halls","Madhya Pradesh","SEONI(District Collector Seoni_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Beohari, Janpad Ghansaur main sthit Gau ghat main Samudayik Bhavan ka nirman, Vidhansabha Lakhnadaon, District Seoni (letter no 3058/23 main Column no 2 par sthit)","12-Jul-2023","28-Feb-2024","300000","Work partially Completed"
"352","Normal/Others","WS/MP198/2023-2024/3469-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ???? ????? ?????? ?? ?? ?? ???","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"353","Normal/Others","WS/MP198/2023-2024/3470-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ????????? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"354","Normal/Others","WS/MP198/2023-2024/3471-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ????? ???? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"355","Normal/Others","WS/MP198/2023-2024/3472-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ??? ?????? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"356","Normal/Others","WS/MP198/2023-2024/3473-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ????? ??? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"357","Normal/Others","WS/MP198/2023-2024/3493-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ?????? ???? ?????? ???????? ??????? ??????? ????? ??? ?????? ??","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"358","Normal/Others","WS/MP198/2023-2024/3494-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ?????? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"359","Normal/Others","WS/MP198/2023-2024/3495-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ??? ?????? ?????? ?????? ?? ???","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"360","Normal/Others","WS/MP198/2023-2024/3496-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ??? ???? ?????? ???????? ??????? ???????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"361","Normal/Others","WS/MP198/2023-2024/3497-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ?????? ????? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"362","Normal/Others","WS/MP198/2023-2024/3498-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ????? ????? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"363","Normal/Others","WS/MP198/2023-2024/3499-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ????? ??? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"364","Normal/Others","WS/MP198/2023-2024/3500-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ????????? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"365","Normal/Others","WS/MP198/2023-2024/3501-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ???? ??? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"366","Normal/Others","WS/MP198/2023-2024/3502-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","????? ??? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"367","Normal/Others","WS/MP198/2023-2024/3503-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ????? ???? ?? ?? ?? ?? ???","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"368","Normal/Others","WS/MP198/2023-2024/3504-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ?????? ??? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"369","Normal/Others","WS/MP198/2023-2024/3505-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ??? ???? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"370","Normal/Others","WS/MP198/2023-2024/3506-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ???????? ????? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"371","Normal/Others","WS/MP198/2023-2024/3507-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ????? ??? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"372","Normal/Others","WS/MP198/2023-2024/3508-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ????? ??? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"373","Normal/Others","WS/MP198/2023-2024/3509-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ???? ??? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"374","Normal/Others","WS/MP198/2023-2024/3510-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ??????? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"375","Normal/Others","WS/MP198/2023-2024/3511-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ???? ??? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"376","Normal/Others","WS/MP198/2023-2024/3512-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ????????? ????? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"377","Normal/Others","WS/MP198/2023-2024/3533-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ???? ???? ?? ?? ?? ???","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
"378","Normal/Others","WS/MP198/2023-2024/3534-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","???? ?????? ????? ??????","13-Jul-2023","12-Aug-2023","283000","Physical Inspection"
