"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7094","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP638/2026-2027/236242","CHHATARPUR(District Collector Chhatarpur_IDA)","Virendra Kumar","TIKAMGARH(SC)","18-May-2026","GRAM PANCHAYAT SAHANIYA","Payment Success","124582"
"7095","Haryana","Installing community drinking water plants","WS/MP18064/2025-2026/218290","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","NAVEEN JINDAL","KURUKSHETRA","12-May-2026","TAWDEER ENTERPRISES","Payment Success","48996"
"7096","Haryana","Construction of additional rooms and halls in the existing public and community building","WS/MP18064/2025-2026/203136","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","NAVEEN JINDAL","KURUKSHETRA","12-May-2026","THE SHYAM KRIPA CO  OP L C SOCIETY LTD","Payment Success","333457"
"7097","Haryana","Construction of boundary walls of existing public and community buildings","WS/MP18064/2025-2026/203134","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","NAVEEN JINDAL","KURUKSHETRA","12-May-2026","THE SHYAM KRIPA CO  OP L C SOCIETY LTD","Payment Success","463448"
"7098","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP381/2025-2026/262033","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","BDS Bricks Industries","Payment Success","150039"
"7099","Rajasthan","Development of playground","WS/MP728/2025-2026/193509","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-May-2026","Vikram","Payment Success","7410"
"7100","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18167/2025-2026/245064","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","07-May-2026","Kapil Enterprises","Payment Success","258751"
"7101","Andhra Pradesh","Providing drains and gutters for public drainage","WS/MP18010/2025-2026/201981","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","TANGELLA UDAY SRINIVAS","KAKINADA","13-May-2026","T A V SIVA PRASAD","Payment Success","1123023"
"7102","Maharashtra","Construction of public libraries and reading rooms","WS/MP18119/2026-2027/163437","CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA)","DR. KIRSAN NAMDEO","GADCHIROLI-CHIMUR(ST)","18-Jun-2026","JILHA VARSHIK YOJANA G P SATHAGAON","Payment Success","1457701"
"7103","Kerala","Construction of culverts and bridges","WS/MP343/2025-2026/199103","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Dr Shashi Tharoor","THIRUVANANTHAPURAM","05-May-2026","JOY J S","Payment Success","1236975"
"7104","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP18002/2025-2026/220739","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","C.M.RAMESH","ANAKAPALLE","01-May-2026","M SATYARAO AND CO","Payment Success","1222344"
"7105","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18321/2025-2026/246174","ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","13-Jul-2026","ISAROL GROUP GRAM PANCHAYAT","Payment Success","500000"
"7106","Rajasthan","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18163/2025-2026/188757","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","07-May-2026","PAWAN KUMAR JAIN","Payment Success","959500"
"7107","Karnataka","Construction of culverts and bridges","WS/MP18263/2025-2026/151980","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","02-May-2026","JYOTHI NAIK","Payment Success","486039"
"7108","Punjab","Purchase of motor boats for flood and cyclone prone areas","WS/MP381/2025-2026/257662","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","13-May-2026","BDS CONTRACTORS","Payment Success","857441"
"7109","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18415/2025-2026/259366","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","TRIVENDRA SINGH RAWAT","HARDWAR","25-Jul-2026","M S MAHIPAL SINGH","Payment Success","301000"
"7110","Uttar Pradesh","Setting up public non-conventional energy plants","WS/MP791/2026-2027/252220","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Jagdambika Pal","DOMARIYAGANJ","11-Jun-2026","RAM PYARE LAL MEMO PUBLIC PRIMARY SCHOOL","Payment Success","87500"
"7111","Uttar Pradesh","Setting up public non-conventional energy plants","WS/MP791/2026-2027/252220","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Jagdambika Pal","DOMARIYAGANJ","05-May-2026","RAM PYARE LAL MEMO PUBLIC PRIMARY SCHOOL","Payment Success","210000"
"7112","Uttar Pradesh","Setting up public non-conventional energy plants","WS/MP791/2026-2027/252220","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Jagdambika Pal","DOMARIYAGANJ","03-Aug-2026","RAM PYARE LAL MEMO PUBLIC PRIMARY SCHOOL","Payment Success","52500"
