"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4501","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18109/2026-2027/244415","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","07-Jul-2026","GRAM PANCHAYAT BAGHAYU","Payment Success","47500"
"4502","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18109/2026-2027/244415","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","07-Jul-2026","GRAM PANCHAYAT BAGHAYU","Payment Success","25000"
"4503","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18109/2026-2027/244415","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","07-Jul-2026","GRAM PANCHAYAT BAGHAYU","Payment Success","45000"
"4504","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18109/2026-2027/244415","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","07-Jul-2026","GRAM PANCHAYAT BAGHAYU","Payment Success","17500"
"4505","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18109/2026-2027/244415","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","07-Jul-2026","GRAM PANCHAYAT BAGHAYU","Payment Success","12500"
"4506","Odisha","Construction of community centers and community halls","WS/MP373/2025-2026/250103","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Smt Sangeeta Kumari Singh Deo","BOLANGIR","10-Jul-2026","PURUSOTTAM MEHER","Payment Success","400000"
"4507","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP747/2026-2027/231792","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","08-Jul-2026","MURUGAN G","Payment Success","999628"
"4508","Jammu And Kashmir","Street lights","WS/MP18379/2025-2026/232715","BARAMULLA(DEPUTY COMMISSIONER BARAMULLAH_IDA)","ABDUL RASHID SHEIKH","BARAMULLAH","10-Jul-2026","MS Manzoor Builders","Payment Success","598400"
"4509","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18310/2025-2026/200767","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","AVIMANYU SETHI","BHADRAK(SC)","03-Jul-2026","Amiya Ku Das","Payment Success","500000"
"4510","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18310/2025-2026/239494","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","AVIMANYU SETHI","BHADRAK(SC)","03-Jul-2026","Maya soren","Payment Success","1000000"
"4511","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18310/2025-2026/239505","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","AVIMANYU SETHI","BHADRAK(SC)","03-Jul-2026","Maya soren","Payment Success","300000"
"4512","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/231713","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","07-Jul-2026","Sukhwinder Singh","Payment Success","14740"
"4513","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18276/2025-2026/242199","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","JASHUBHAI BHILUBHAI RATHVA","CHHOTA UDAIPUR(ST)","17-Jul-2026","sokhda khurd gram panchayat","Payment Success","224138"
"4514","Odisha","Construction of community centers and community halls","WS/MP18142/2025-2026/222002","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","09-Jul-2026","CHANDRAKANT DIXIT","Payment Success","250000"
"4515","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP005/2025-2026/246090","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","Devusinh Jesingbhai Chauhan","KHEDA","09-Jul-2026","GRAM PANCHAYAT VASTANA","Payment Success","199804"
"4516","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18312/2026-2027/181190","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","07-Aug-2026","R SIVAKUMAR","Payment Success","1671465"
"4517","Tamil Nadu","Purchase of hospital equipment","WS/MP18173/2026-2027/231081","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","06-Jul-2026","VSR Agencies","Payment Success","29998"
"4518","Bihar","Development of public parks","WS/MP413/2025-2026/257835","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Alok Kumar Suman","GOPALGANJ (SC)","03-Aug-2026","J K ENTERPRISES JALENDHAR","Payment Success","396124"
"4519","Bihar","Construction of community centers and community halls","WS/MP18037/2025-2026/212156","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","07-Jul-2026","SATYENDRA SINGH","Payment Success","1485277"
"4520","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/239790","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","28-Jul-2026","MS Parveen Kumar Govt Contractor","Payment Success","285600"
"4521","Himachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18069/2025-2026/212347","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","23-Jul-2026","MS Parveen Kumar Govt Contractor","Payment Success","194984"
"4522","Telangana","Construction of boundary walls of existing public and community buildings","WS/MP18189/2026-2027/182911","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","09-Jul-2026","Vangaveeti Ravindra Babu","Payment Success","493524"
"4523","Andhra Pradesh","Construction of community centers and community halls","WS/MP18343/2025-2026/232262","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","Daggubati Purandeshwari","RAJAHMUNDRY","08-Jul-2026","AM ASSOCIATES","Payment Success","957766"
"4524","Assam","Construction of community centers and community halls","WS/MP18021/2026-2027/267281","GOALPARA(Deputy Commissioner Goalpara_IDA)","RAKIBUL HUSSAIN","DHUBRI","07-Jul-2026","Woman Musafir Khana","Payment Success","300000"
"4525","Kerala","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP345/2024-2025/163564","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Shri NK Premachandran","KOLLAM","09-Jul-2026","RASHEED S A","Payment Success","1100546"
"4526","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243380","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","08-Jul-2026","AMA ZILA PANCHAYAT UTTARKASHI","Payment Success","106100"
"4527","Delhi","Fitting of Sitting RCC Benches in Public Places","WS/MP18400/2025-2026/261105","SOUTH WEST(COMMISSIONER MCD SOUTH WEST)","Kamaljeet Sehrawat","WEST DELHI","09-Jul-2026","Naresh Kumar Gupta","Payment Success","959236"
"4528","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18056/2025-2026/233164","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","PARSHOTTAMBHAI RUPALA","RAJKOT","14-Jul-2026","SHRI MAHARANA DEVELOPERS","Payment Success","754717"
"4529","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18352/2026-2027/277233","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","08-Jul-2026","RAJESH CHAUHAN","Payment Success","595579"
"4530","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18352/2026-2027/261256","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","08-Jul-2026","RAJESH CHAUHAN","Payment Success","754476"
"4531","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18352/2026-2027/261250","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","08-Jul-2026","RAJESH CHAUHAN","Payment Success","882300"
"4532","Gujarat","Construction of public irrigation facilities","WS/MP577/2025-2026/222996","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","07-Jul-2026","GRAM PANCHAYAT CHOSALA","Payment Success","500000"
"4533","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18168/2025-2026/265222","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","BHAJAN LAL JATAV","KARAULI-DHOLPUR(SC)","14-Jul-2026","Rakesh Jatav","Payment Success","11250"
"4534","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18168/2025-2026/265222","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","BHAJAN LAL JATAV","KARAULI-DHOLPUR(SC)","14-Jul-2026","Ramsaingh Jatav","Payment Success","6000"
"4535","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18168/2025-2026/265222","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","BHAJAN LAL JATAV","KARAULI-DHOLPUR(SC)","14-Jul-2026","Kedar Jatav","Payment Success","6000"
"4536","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18168/2025-2026/265222","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","BHAJAN LAL JATAV","KARAULI-DHOLPUR(SC)","14-Jul-2026","Kamlesh Jatav","Payment Success","6000"
"4537","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18168/2025-2026/265222","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","BHAJAN LAL JATAV","KARAULI-DHOLPUR(SC)","14-Jul-2026","Mithlesh Jatav","Payment Success","6000"
"4538","Karnataka","Lighting of public spaces","WS/MP18355/2026-2027/272203","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","13-Jul-2026","L N Enterprises Yadunandan Yadav V K","Payment Success","499697"
"4539","Karnataka","Lighting of public spaces","WS/MP18355/2026-2027/272226","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","13-Jul-2026","KESHAVAMURTHY","Payment Success","499173"
"4540","Karnataka","Lighting of public spaces","WS/MP18355/2026-2027/272214","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","13-Jul-2026","KESHAVAMURTHY","Payment Success","499123"
"4541","Gujarat","Construction of rooms and halls in school and colleges","WS/MP578/2025-2026/242888","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","10-Jul-2026","D R KUKADIA","Payment Success","3130066"
"4542","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP858/2025-2026/204159","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","05-Jul-2026","MS Ali Construction","Payment Success","586967"
"4543","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18344/2025-2026/240443","JUNAGADH(DISTRICT COLLECTOR JUNAGADH_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","23-Jul-2026","RANGPUR GRAM PANCHAYAT","Payment Success","294244"
"4544","Madhya Pradesh","Construction of rooms and halls in school and colleges","WS/MP18102/2026-2027/222598","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","07-Aug-2026","Gram Panchayat Bachhadawada janpad Panchayat nalchha district dhar","Payment Success","350000"
"4545","Punjab","Providing drains and gutters for public drainage","WS/MP18311/2025-2026/156719","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","06-Jul-2026","jasvir Singh","Payment Success","5100"
"4546","Punjab","Providing drains and gutters for public drainage","WS/MP18311/2025-2026/156719","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","06-Jul-2026","Tarsem lal","Payment Success","48180"
"4547","Punjab","Providing drains and gutters for public drainage","WS/MP18311/2025-2026/156719","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","06-Jul-2026","Tarsem lal","Payment Success","9682"
"4548","Punjab","Construction of buildings for community cultural activities","WS/MP18311/2025-2026/199347","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","06-Jul-2026","kuldip Kumar","Payment Success","48180"
"4549","West Bengal","Construction of rooms and halls in school and colleges","WS/MP485/2025-2026/207918","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","07-Jul-2026","Sukanta Enterprise","Payment Success","440458"
"4550","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2026-2027/274565","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","07-Jul-2026","BOBICONSTRUCTIONCOMPANY","Payment Success","239376"
"4551","Karnataka","Construction of community centers and community halls","WS/MP18263/2026-2027/167825","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","06-Jul-2026","NARAYANA","Payment Success","499975"
"4552","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18088/2026-2027/162269","CHIKKABALLAPURA(DEPUTY COMMISSIONER CHICKKABALLAPUR_IDA)","M. MALLESH BABU","KOLAR(SC)","30-Jul-2026","RAJA K","Payment Success","150000"
"4553","Odisha","Construction of community centers and community halls","WS/MP18145/2025-2026/211335","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","BAIJAYANT PANDA","KENDRAPARA","06-Jul-2026","BHAGYADHAR SAHOO","Payment Success","1340703"
"4554","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18076/2026-2027/218167","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","DR C N MANJUNATH","BANGALORE RURAL","06-Jul-2026","BASAVARAJU","Payment Success","375000"
"4555","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18147/2025-2026/238019","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","03-Aug-2026","DAKTAR MURMU","Payment Success","500000"
"4556","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18147/2025-2026/238034","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","03-Aug-2026","DAKTAR MURMU","Payment Success","500000"
"4557","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18147/2025-2026/238017","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","03-Aug-2026","DAKTAR MURMU","Payment Success","500000"
"4558","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP394/2026-2027/231389","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","06-Jul-2026","SELVA VARGEESE SOOSAIMICHEAL","Payment Success","845299"
"4559","Mizoram","Construction of boundary walls of existing public and community buildings","WS/MP18138/2026-2027/282943","CHAMPHAI(DEPUTY COMMISIONER, CHAMPHAI)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","28-Jul-2026","Thanghuliana","Payment Success","1125000"
"4560","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18058/2025-2026/267237","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","DR. HEMANG JOSHI","VADODARA","08-Jul-2026","Khokhar Gram Panchayat","Payment Success","500000"
"4561","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18058/2025-2026/267236","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","DR. HEMANG JOSHI","VADODARA","08-Jul-2026","Khokhar Gram Panchayat","Payment Success","500000"
"4562","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18042/2025-2026/259755","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","SHAMBHAVI","SAMASTIPUR(SC)","18-Aug-2026","VAMSI ENTERPRISES","Payment Success","798355"
"4563","Punjab","Construction of community centers and community halls","WS/MP18155/2025-2026/236715","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","10-Jul-2026","Pardeep Electrical","Payment Success","34920"
"4564","Madhya Pradesh","Renovation of ponds and lakes","WS/MP640/2026-2027/271458","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","09-Jul-2026","GRAM PANCHAYAT DHANOURA","Payment Success","375000"
"4565","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/256765","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","06-Jul-2026","guddi devi","Payment Success","998824"
"4566","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/231713","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","07-Jul-2026","Bawa Building Material","Payment Success","14400"
"4567","Punjab","Construction of community centers and community halls","WS/MP18158/2025-2026/242856","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","07-Jul-2026","GS Building Material Store","Payment Success","17150"
"4568","Punjab","Construction of community centers and community halls","WS/MP18158/2025-2026/242856","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","07-Jul-2026","Bhagwan Singh","Payment Success","29522"
"4569","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/160454","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","03-Jul-2026","GUGALIYANA GRAM PANCHAYAT","Payment Success","298052"
"4570","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/231713","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","06-Jul-2026","Abhishek Paint Store","Payment Success","2573"
"4571","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/251469","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","06-Jul-2026","JASKA GRAM PANCHAYAT","Payment Success","200000"
"4572","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2026-2027/174640","NANDED(DISTRICT COLLECTOR NANDED_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","13-Jul-2026","Gram Panchayat Karylay Talni Tq Hadgaon","Payment Success","495989"
"4573","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP380/2025-2026/225135","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","28-Jul-2026","Manpreet Singh","Payment Success","63920"
"4574","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/196209","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","03-Aug-2026","DHARAMPUR BHALTHI GRAM PANCHAYAT","Payment Success","200000"
"4575","Andaman And Nicobar Islands","Construction of community centers and community halls","WS/MP18275/2025-2026/175559","SOUTH ANDAMANS(Implementing District Authority(SA))","BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","27-Jul-2026","RAMESH CONSTRUCTION","Payment Success","730885"
"4576","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP591/2025-2026/240548","PALWAL(CEO DRDA MPLADS PALWAL)","Krishan Pal Gurjar","FARIDABAD","30-Jul-2026","DHARAM TRADERS","Payment Success","496994"
"4577","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP591/2025-2026/240547","PALWAL(CEO DRDA MPLADS PALWAL)","Krishan Pal Gurjar","FARIDABAD","24-Aug-2026","DHARAM TRADERS","Payment Success","489995"
"4578","Jammu And Kashmir","Construction of community centers and community halls","WS/MP600/2025-2026/237888","DODA(Deputy Commissioner Doda_IDA)","Jitendra Singh","UDHAMPUR","18-Jul-2026","Abdul Wahid Magray","Payment Success","417000"
"4579","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2026-2027/274719","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","09-Jul-2026","JILA CHANDRAWANSHI GOULI MAHASABHA SAMITI BHOMA SEONI","Payment Success","375000"
"4580","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2026-2027/274719","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","20-Aug-2026","JILA CHANDRAWANSHI GOULI MAHASABHA SAMITI BHOMA SEONI","Payment Success","125000"
"4581","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2026-2027/273061","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","08-Jul-2026","GRAM PANCHAYAT CHHUI","Payment Success","150000"
"4582","Telangana","Providing drains and gutters for public drainage","WS/MP18188/2025-2026/208337","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","07-Jul-2026","Reddys Engineeering Contractors","Payment Success","487552"
"4583","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2026-2027/278731","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","06-Aug-2026","Reddys Engineeering Contractors","Payment Success","499837"
"4584","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2026-2027/278730","RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA)","KONDA VISHWESHWAR REDDY","CHELVELLA","06-Aug-2026","Reddys Engineeering Contractors","Payment Success","499837"
"4585","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18136/2026-2027/257200","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","AMAR SHARADRAO KALE","WARDHA","09-Jul-2026","FOR SEVA CONSTRUCTION","Payment Success","995588"
"4586","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP346/2025-2026/243200","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Adv Adoor Prakash","ATTINGAL","14-Jul-2026","ANUDEV J C","Payment Success","531664"
"4587","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/159484","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","11-Jul-2026","KavalYellaiah","Payment Success","125000"
"4588","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP18312/2026-2027/211704","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","31-Jul-2026","N RAMALINGAM","Payment Success","1799018"
"4589","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/151157","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","04-Jul-2026","SALADI GRAM PANCHAYAT","Payment Success","300000"
"4590","Chhattisgarh","Purchase of mobile water tankers","WS/MP18048/2025-2026/209919","SUKMA(Collector Sukma_IDA)","MAHESH KASHYAP","BASTAR(ST)","16-Jul-2026","VIRANI AGRO","Payment Success","249998"
"4591","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18345/2026-2027/215853","KANNAUJ(DISTRICT MAGISTRATE KANNAUJ_IDA)","AKHILESH YADAV","KANNAUJ","03-Jul-2026","MAA VAISHNO TRADERS","Payment Success","300000"
"4592","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18345/2026-2027/257822","KANNAUJ(DISTRICT MAGISTRATE KANNAUJ_IDA)","AKHILESH YADAV","KANNAUJ","07-Aug-2026","MAA VAISHNO TRADERS","Payment Success","200000"
"4593","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/270992","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","03-Jul-2026","GRAM PANCHAYAT INDRI MAWAI","Payment Success","300000"
"4594","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2026-2027/271113","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","03-Jul-2026","GRAM PANCHAYAT JHIRIYA","Payment Success","300000"
"4595","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2026-2027/271123","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Faggan Singh Kulaste","MANDLA(ST)","03-Jul-2026","GRAM PANCHAYAT BARKHEDA","Payment Success","300000"
"4596","Tamil Nadu","Construction of public libraries and reading rooms","WS/MP394/2026-2027/197311","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","06-Jul-2026","Prince kumar","Payment Success","989098"
"4597","Telangana","Construction of boundary walls of existing public and community buildings","WS/MP18389/2026-2027/156767","WARANGAL(District Collector Warangal_IDA)","KADIYAM KAVYA","WARANGEL(SC)","04-Jul-2026","SHAPURAM GANESH","Payment Success","399284"
"4598","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/227810","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","10-Jul-2026","RAJENDRA PRASAD","Payment Success","9072"
"4599","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/227810","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","10-Jul-2026","MUNNA LAL","Payment Success","9072"
"4600","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/227810","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","10-Jul-2026","MADAN CHANDRA","Payment Success","8316"
