"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"2276","Normal/Others","WS/MP106/2023-2024/85050-Construction of rooms and halls in school and colleges","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shaskiy High School Sahavan Block, Chichli district Narsinghpur Ke School Bhavan ka Repair Work (mention in letter no. 3470 at column no.1)","Shri Vivek K. Tankha (2022-28) (NaN-NaN)","Elected MP","Images","09-Aug-2024","100000"
"2277","Normal/Others","WS/MP850/2023-2024/100869-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","THANA SHYAMPUR MEIN MAHILA HELP DESK HETU ROOM EVAM TOILET KA NIRMAN.. IA( KARYADAI SANSTATHA )- NAGAR PANCHAYAT PADALI GUJJAR","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","05-Feb-2025","985228"
"2278","Normal/Others","WS/MP850/2023-2024/100863-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","THANA KHANKHAL MEIN MAHILA HELP DESK HETU ROOM EVAM TOILET KA NIRMAN .. IA( KARYADAI SANSTATHA )- NAGAR PANCHAYAT PADALI GUJJAR","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","05-Feb-2025","951274"
"2279","Normal/Others","WS/MP850/2023-2024/100865-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","KOTWALI JAWALAPUR MEIN MAHILA HELP DESK HETU ROOM EVAM TOILET KA NIRMAN.. IA( KARYADAI SANSTATHA )- NAGAR PANCHAYAT PADALI GUJJAR","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","05-Feb-2025","973919"
"2280","Normal/Others","WS/MP202/2023-2024/11798-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA)","Block Lambhua Village Thyauri Ghatampur Uttari me Late Bhagwat Parshad Dubey Ke Khet se Diwakar Tripathi ke Boundri tak 315 meter CC Road Nirman","Smt. Seema Dwivedi (2020-26) (NaN-NaN)","Elected MP","N/A","20-May-2025","2024871"
"2281","Normal/Others","WS/MP844/2023-2024/110631-Purchase of furniture and fixtures for educational purposes","Punjab","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MPLAD Grant of rupees 15 lakh 20 thousand only for purchase of Furniture and fixture for upgradation of ITI Manikpur Sharif, SAS Nagar.","Dr. Vikramjit Singh Sahney (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2025","285506"
"2282","Normal/Others","WS/MP850/2023-2024/98224-Development of public parks","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","GRAM - SIKANDERPUR                              BHAINSWAL MEIN DR. BHEEMRAO AMEDKAR PARK MEIN INTERLOCKING TILES  NIRMAN .. IA(KARYADAI SANSTATHA)- NAGAR PANCHAYAT PADALI GUJJAR","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","09-Aug-2024","401716"
"2283","Normal/Others","WS/MP084/2024-2025/38399-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","11-Jul-2024","499000"
"2284","Normal/Others","WS/MP084/2024-2025/38398-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C Road development work, Machohali Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","11-Jul-2024","499000"
"2285","Normal/Others","WS/MP096/2024-2025/132372-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Chirakkal - Kootayi Alavipadi road/pathway, ward no.03, Ponmundam Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","12-Jul-2024","367434"
"2286","Normal/Others","WS/MP162/2023-2024/61773-Construction of stadiums","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Constructions Of New Indoor Ground With Galvano Aluminium Sheet Roofing In volleyball ground with multipurpose Wooden Flooring in Lady Doak Collage, Madurai","Shri S. Kalyanasundaram (2022-28) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","10976847"
"2287","Normal/Others","WS/MP096/2024-2025/132534-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Paarangadi SC Colony road /pathway, ward No. 07, Othukkungal Panchayat (SC)","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","15-Jul-2024","127296"
"2288","Repair and Renovation","WS/MP833/2024-2025/74904-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Chikmagalur/ General/ Development  of road from Avathf Narigudde Mallandur  connecting road","Shri Jairam Ramesh (2022-28) (NaN-NaN)","Elected MP","Images","15-Jul-2024","3000000"
"2289","Normal/Others","WS/MP096/2024-2025/132533-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Chekkath - Kaipatta Naduvil road /pathway, Ward No. 01, Othukkungal Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","15-Jul-2024","356297"
"2290","Normal/Others","WS/MP140/2023-2024/45872-Purchase of mobile water tankers","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Dadwindi. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","16-Jul-2024","336300"
"2291","Normal/Others","WS/MP146/2023-2024/11883-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Construction of C.C. /Interlocking Road from Chhote Sua residence towards Bairwa village, Gram Panchayat Gorda, P.S./Block Todabhim, Karauli","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","N/A","09-Jun-2025","999890"
"2292","Normal/Others","WS/MP203/2023-2024/2995-Construction of rooms and halls in school and colleges","Uttar Pradesh","Bara Banki(DISTRICT MAGISTRATE BARABANKI_IDA)","???: ??????? ?????? ????? ???? ?????, ???????? ???, ????????, ????? ??????  ???????? : ????? ??? ???????","Smt. Darshana Singh (2022-28) (NaN-NaN)","Elected MP","Images","18-Jul-2024","988278"
"2293","Normal/Others","WS/MP165/2024-2025/96037-Providing drains and gutters for public drainage","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Public drainage at SS nagar in ward no 14","Shri P. Chidambaram (2022-28) (NaN-NaN)","Elected MP","Images","18-Jul-2024","1000000"
"2294","Normal/Others","WS/MP084/2024-2025/38465-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","18-Jul-2024","476119"
"2295","Normal/Others","WS/MP084/2024-2025/38467-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","18-Jul-2024","499327"
"2296","Normal/Others","WS/MP840/2024-2025/109232-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Makloor Thanda/ Indalwai; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2297","Normal/Others","WS/MP840/2024-2025/109234-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Sirnapally Station Thanda/ Indalwai; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2298","Normal/Others","WS/MP840/2024-2025/109236-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Gannaram Attu Thanda/ Indalwai; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2299","Normal/Others","WS/MP840/2024-2025/109260-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Pati Thanda/ Indalwai; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2300","Normal/Others","WS/MP840/2024-2025/109263-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Megyanayak Thanda/ Indalwai; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2301","Normal/Others","WS/MP840/2024-2025/109271-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Chandmiyabhag Thanda/ Jakranpally; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2302","Normal/Others","WS/MP840/2024-2025/109272-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Munipally Nadmi Thanda/ Jakranpally; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2303","Normal/Others","WS/MP840/2024-2025/109274-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : DB Thanda/ Dharpally; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2304","Normal/Others","WS/MP840/2024-2025/109275-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Salpa Thanda/ Dharpally; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2305","Normal/Others","WS/MP840/2024-2025/109276-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Musheer Nagar Thanda/ Sirkonda; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2306","Normal/Others","WS/MP840/2024-2025/109277-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Pakala/ Sirkonda; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2307","Normal/Others","WS/MP840/2024-2025/109279-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Sarpally Thanda/ Sirkonda; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2308","Normal/Others","WS/MP840/2024-2025/109140-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Shiva Thanda/ Navipet; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2309","Normal/Others","WS/MP840/2024-2025/109135-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Maddepally Thanda 1/ Navipet; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2310","Normal/Others","WS/MP840/2024-2025/109124-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Abbapur Thanda/ Navipet; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2311","Normal/Others","WS/MP840/2024-2025/109138-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Dharyapur Thanda/ Navipet; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2312","Normal/Others","WS/MP840/2024-2025/109095-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Mattaiah Faram Thanda/ Navipet; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2313","Normal/Others","WS/MP145/2024-2025/30779-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","CEMENT INTERLOCKING BRICK KHARANJA WORK IN BRAHMAN BASTI, GRAM NAGLA PARSRAM, GP FULWARA, PS SEWAR","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","31-Jul-2024","498645"
"2314","Normal/Others","WS/MP001/2023-2024/103702-Installation of multi-gym equipment","Bihar","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","Installation Work of  Gym Equipment In Government Basic School Dhobgawan of Dhobgawan Panchayat of Pusa Block of Samastipur District.(Estimated  Amount  Rs:-15,00,000/-  Fifteen Lakh Only)","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","Images","19-Jul-2024","1499281"
"2315","Normal/Others","WS/MP165/2024-2025/132824-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Construction of New PHC building in Salaigramam PHC, Ilayangudi block for the year of 2022-23  Total Estimate cost Rs.1,25,00,000/-  balance amount now proposed","Shri P. Chidambaram (2022-28) (NaN-NaN)","Elected MP","N/A","30-Oct-2024","1148147"
"2316","Normal/Others","WS/MP165/2023-2024/96083-Development of playfields and sports grounds","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","construction of Basket ball ground at District Instituion of Education and Training centre in Kalayarkovil","Shri P. Chidambaram (2022-28) (NaN-NaN)","Elected MP","N/A","23-Aug-2024","996348"
"2317","Normal/Others","WS/MP840/2024-2025/109280-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Manik Bhandar Thanda/ Makloor; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2318","Normal/Others","WS/MP840/2024-2025/109281-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Durga Nagar Kindi Thanda/ Makloor; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2319","Normal/Others","WS/MP840/2024-2025/109288-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Nadmi Thanda/ Makloor; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2320","Normal/Others","WS/MP840/2024-2025/109289-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Ramchandrapally Thanda/ Aloor; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"2321","Trust and Society","WS/MP099/2024-2025/132929-Construction of public libraries and reading rooms","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Construction of building for Grameena Vayanasala & Grandhalayam,Parothumneer, Cherupuzha Grama Panchayat.","Dr. John Brittas (2021-27) (NaN-NaN)","Elected MP","Images","24-Jul-2024","1925275"
"2322","Normal/Others","WS/MP838/2024-2025/75008-Construction of road under bridge","Karnataka","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Construction of Road","Dr. Dharmasthala Veerendra Heggade (2022-28) (NaN-NaN)","Elected MP","Images","25-Nov-2024","499174"
"2323","Normal/Others","WS/MP844/2023-2024/127110-Purchase of furniture and fixtures for educational purposes","Punjab","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","Grant of MPLAD Funds for rupees 40 lakhs for Fixtures, Machinery, Equipments for educational purposes in ITI Manakpur Sharif","Dr. Vikramjit Singh Sahney (2022-28) (NaN-NaN)","Elected MP","Images","23-Jul-2024","535423.74"
"2324","Normal/Others","WS/MP182/2023-2024/15725-Construction of rooms and halls in school and colleges","Uttar Pradesh","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Contruction of class room in AD gov. Kanya inter college 1st floor gkp","Dr. Radha Mohan Das Agrawal (2022-28) (NaN-NaN)","Elected MP","Images","12-Nov-2025","11907185"
"2325","Normal/Others","WS/MP182/2023-2024/15726-Construction of rooms and halls in school and colleges","Uttar Pradesh","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Construction of Class room in AD gov. kanya inter college Ground floor in gkp","Dr. Radha Mohan Das Agrawal (2022-28) (NaN-NaN)","Elected MP","Images","09-Dec-2025","11898309"
"2326","Normal/Others","WS/MP103/2024-2025/117425-Lighting of public spaces","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Solar High brid LED High Mast (Solar Street Light in ) 24 watt X4 No. 7 Meter Pole Sthapna in GP Berchha  District  Shajapur","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","N/A","27-Dec-2024","477000"
"2327","Normal/Others","WS/MP096/2024-2025/132560-Lighting of public spaces","Kerala","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Setting up of low mast light at Kopprakkalli, Ward Mp.17, Kadalundi Panchayath","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","24-Jul-2024","136886"
"2328","Normal/Others","WS/MP838/2024-2025/74999-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Road Development","Dr. Dharmasthala Veerendra Heggade (2022-28) (NaN-NaN)","Elected MP","Images","25-Nov-2024","499174"
"2329","Normal/Others","WS/MP844/2023-2024/110653-Purchase of IT systems, including hardware and software for educational purposes","Punjab","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MPLAD Grant of rupees Ten Lakh Ninety Four Thousand only for purchase of IT Systems, including hardware and software for educational purposes to ITI Manakpur Sharif","Dr. Vikramjit Singh Sahney (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2025","200654"
"2330","Normal/Others","WS/MP202/2023-2024/51108-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Vikash Khand Sujanganj Gram Pura ram Sahai Me Lalau Singh Ke Ghar Ke Bagal 10KVA Se 25KVA Transformar  Kshamta Vriddhi Ka Karya Sampark Sutra 9721746941","Smt. Seema Dwivedi (2020-26) (NaN-NaN)","Elected MP","Images","29-Oct-2025","80600"
"2331","Normal/Others","WS/MP202/2023-2024/12149-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Block Sujanganj Gram amawan  Me  10 KVA Se 25 KVA Transformer Ki Kshamta Vriddhi Ka Karya","Smt. Seema Dwivedi (2020-26) (NaN-NaN)","Elected MP","Images","01-Jul-2025","77700"
"2332","Normal/Others","WS/MP202/2023-2024/12148-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Block Sujanganj Gram Alaiya  Me Gyan Chandra Ke Ghar Ke Nikat 03 Pole EVm 10 KVA Transformer Ka Karya","Smt. Seema Dwivedi (2020-26) (NaN-NaN)","Elected MP","Images","01-Jul-2025","101500"
"2333","Normal/Others","WS/MP202/2023-2024/12152-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Block Sujanganj Gram Bhilampur Me Pankaj Singh Ke Ghar Ke Pass 10 KVA Se 25 KVA Transformer Ki Kshamta Vriddhi Ka Karya","Smt. Seema Dwivedi (2020-26) (NaN-NaN)","Elected MP","Images","01-Jul-2025","78100"
"2334","Normal/Others","WS/MP202/2023-2024/12151-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Block Sujanganj Gram Pure Kodai Faridabad Me Rajmani Tripathi  Ke Ghar Ke Pass 25 KVA Transformer EVM 350 Meter 11 KVA Ki Line Ka Karya","Smt. Seema Dwivedi (2020-26) (NaN-NaN)","Elected MP","Images","01-Jul-2025","232000"
"2335","Normal/Others","WS/MP202/2023-2024/12150-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Block Sujanganj Gram Baharpur Me 10 KVA Se 25 KVA Transformer Ki Kshamta Vriddhi Ka Karya","Smt. Seema Dwivedi (2020-26) (NaN-NaN)","Elected MP","Images","01-Jul-2025","84600"
"2336","Normal/Others","WS/MP052/2023-2024/92277-Fitting of Sitting RCC Benches in Public Places","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Construction of platform on public land near Durga place in village Gobardhana ward number 9 of Kehunia Rowari, Gram Panchayat state of Block Narkatiaganj. Estimated Amount Rs. 4 lakh","Shri Satish Chandra Dubey (2022-28) (NaN-NaN)","Elected MP","N/A","16-Dec-2024","396170"
"2337","Normal/Others","WS/MP041/2023-2024/128361-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Jaldhari chowk se ranti chowk jane wali pradhanmantri sarak ke kinare rupan das ke ghar ke bagal se rajkumar yadav ke ghar tak ward no-21 new chakdah me P.C.C sarak and nala nirman","Dr. Faiyaz Ahmad (2022-28) (NaN-NaN)","Elected MP","N/A","25-Jul-2024","1050558"
"2338","Normal/Others","WS/MP131/2023-2024/75804-Construction of community centers and community halls","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Construction of paber Block fixing in front of Bijadihi Community Centre","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","19-Mar-2026","300000"
"2339","Normal/Others","WS/MP106/2024-2025/124195-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","GUNA(District Collector Guna_IDA)","Gram panchayat Bisankheda, janpad Panchayat Raghogarh, Jila Guna Vidhansabha chachoda ke gram Laxamanpura ke Banjara Basti main CC Road Nirman, Guna","Shri Vivek K. Tankha (2022-28) (NaN-NaN)","Elected MP","Images","06-Jan-2025","500000"
"2340","Normal/Others","WS/MP165/2024-2025/96073-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","construction of pavor block road at Office street, Govt Boys Higher secondary school in ward no 8","Shri P. Chidambaram (2022-28) (NaN-NaN)","Elected MP","Images","26-Jul-2024","1000000"
"2341","Normal/Others","WS/MP078/2023-2024/25068-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Construction of Road from Dulchera to Sarla, Barsar, Dev. Block Bijri, Distt. Hamirpur (HP) (Executive Agency HPPWD)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","17-Feb-2026","442089"
"2342","Normal/Others","WS/MP840/2024-2025/109231-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Bibipur Thanda/ Dichpally; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","26-Jul-2024","150000"
"2343","Normal/Others","WS/MP840/2024-2025/109229-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Vesli Nagar Thanda/ Dichpally; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","26-Jul-2024","150000"
"2344","Normal/Others","WS/MP840/2024-2025/109227-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Mittapally Thanda/ Dichpally; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","26-Jul-2024","150000"
"2345","Normal/Others","WS/MP840/2024-2025/109221-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Doosgaon Thanda/ Dichpally; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","26-Jul-2024","150000"
