"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"2629","Normal/Others","WS/MP138/2023-2024/72140-Construction of buildings for training institutions","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Women’s recreation club of Women’s Capacity Building Centre under public recreational facilities, Jajpur Municipality, Jajpur under Jajpur Assembly Dist-Jajpur","30-Dec-2023","1000000","24-Jan-2024"
"2630","Normal/Others","WS/MP138/2023-2024/72141-Construction of community centers and community halls","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Board Room of Women’s Capacity Building Centre under public recreational facilities, Jajpur Municipality, Jajpur under Jajpur Assembly Dist-Jajpur","30-Dec-2023","1000000","24-Jan-2024"
"2631","Normal/Others","WS/MP138/2023-2024/72142-Construction of community centers and community halls","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Hobby & Training Center of Women’s Capacity Building Centre under public recreational facilities, Jajpur Municipality, Jajpur under Jajpur Assembly Dist-Jajpur","30-Dec-2023","1000000","24-Jan-2024"
"2632","Normal/Others","WS/MP138/2023-2024/72143-Construction of buildings for training institutions","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Office and Admin Room of Women’s Capacity Building Centre under public recreational facilities, Jajpur Municipality, Jajpur under Jajpur Assembly Dist-Jajpur","30-Dec-2023","1000000","24-Jan-2024"
"2633","Normal/Others","WS/MP131/2023-2024/72509-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of CC Road from RD Road to Nadi Ghat, Village- Athamania, G.P. : Ekamania","31-Dec-2023","1000000","25-Jan-2024"
"2634","Normal/Others","WS/MP131/2023-2024/72510-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of CC Road Dhakhinadia, Harijan Sahi, G.P. - Ekamania","31-Dec-2023","1000000","25-Jan-2024"
"2635","Normal/Others","WS/MP131/2023-2024/72525-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Re-construction of Deepmala road connecting Panchamana to Old Panchayat Office (Basuaghai GP)","31-Dec-2023","300000","10-Mar-2024"
"2636","Normal/Others","WS/MP131/2023-2024/72526-Providing drains and gutters for public drainage","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of drain from Deepmala road to main drain","31-Dec-2023","300000","10-Mar-2024"
"2637","Normal/Others","WS/MP131/2023-2024/72527-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of Road from Durgapurpatana to Puri by-pass (Basuaghai GP)","31-Dec-2023","300000","10-Mar-2024"
"2638","Normal/Others","WS/MP131/2023-2024/72528-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of Road from Kuakhai river right embankment to Kesura village","31-Dec-2023","500000","10-Mar-2024"
"2639","Normal/Others","WS/MP131/2023-2024/72529-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of Road from Koradakanta Mahadev Mandir to Puri by-pass road (Basuaghai GP)","31-Dec-2023","400000","10-Mar-2024"
"2640","Normal/Others","WS/MP131/2023-2024/72530-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of first road from left side to Jagannath Vihar (Lingipur GP)","31-Dec-2023","300000","10-Mar-2024"
"2641","Normal/Others","WS/MP131/2023-2024/72531-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of road from Palaspur village to connecting Mallick Sahi (Tikarapara GP)","31-Dec-2023","300000","10-Mar-2024"
"2642","Normal/Others","WS/MP131/2023-2024/72532-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of road from PWD Road to Shanti Vihar (ward no. 50)","31-Dec-2023","300000","10-Mar-2024"
"2643","Normal/Others","WS/MP131/2023-2024/72533-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of internal road of Mallick Complex (Ward No. 50)","31-Dec-2023","300000","10-Mar-2024"
"2644","Normal/Others","NA-Construction of community centers and community halls","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of BATABRUKSHYA MANDAP COMMUNITY HALL near Daruchuka Pokhari","31-Dec-2023","1000000","NA"
"2645","Normal/Others","NA-Construction of rooms and halls in school and colleges","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of Auditorium of BJB (Autonomous) College, BJB Nagar, Bhubaneswar (Bhubaneswar Municipal Corporation)","31-Dec-2023","5000000","NA"
"2646","Normal/Others","WS/MP147/2023-2024/72918-Construction of boundary walls of existing public and community buildings","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Saarvajanik Vaachanaalay kee Chaar divaaree va Vistaar Kaarya may Shauchaalay Nirmaan Kaary Raajasv Gaon Kamaal Khaan Kee Bastee","01-Jan-2024","1000000","11-Jan-2024"
"2647","Normal/Others","WS/MP147/2024-2025/72926-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction work of drain with interlocking tiles in Sikh Mohalla village Udaipur Niham.","01-Jan-2024","1500000","05-Jul-2024"
"2648","Normal/Others","NA-Lighting of public spaces","Tamil Nadu","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","1 No. High Mast Light in Pannaipuram Bus Stop","18-Dec-2023","900000","NA"
"2649","Normal/Others","WS/MP201/2023-2024/73283-Lighting of public spaces","Uttar Pradesh","Mahrajganj(DISTRICT MAGISTRAE MAHARAJGANJ_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","installation of semi high mast light at various locations in maharajganj of worth 2.71 lacs approx","02-Jan-2024","14923480","02-Feb-2024"
"2650","Normal/Others","WS/MP162/2023-2024/73838-Street lights","Tamil Nadu","NAGAPATTINAM(DISTRICT COLLECTOR NAGAPATTINAM_4)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","Nagapattinam District, Tirukuwela Panchayat Tirukuwela South Street and Lower Street Decorative Street Lighting Park Works","03-Jan-2024","2000000","16-Feb-2024"
"2651","Normal/Others","WS/MP204/2023-2024/74103-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of Road and Broomstick/Chamfer,  in Kankhal (haridar) Ganpati dham Phase-3 to Sangam Vihar (Jamalpur)","03-Jan-2024","1879934","15-Feb-2024"
"2652","Normal/Others","WS/MP196/2023-2024/74152-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","Construction of boundary walls of existing public and community buildings in Gujrauliya Grant, District Sidharth Nagar","03-Jan-2024","2656000","12-Feb-2024"
"2653","Normal/Others","WS/MP196/2023-2024/74241-Renovation of ponds and lakes","Uttar Pradesh","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","Regarding the retaining wall and other construction work on the west side of the big pond in Gram Panchayat- Gujraulia Khalsa, District- Siddharthnagar.","03-Jan-2024","4325000","12-Feb-2024"
"2654","Normal/Others","WS/MP844/2023-2024/74812-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","Recommendation of rupees 50 lakhs for construction of streets and roads in Babu Singh Colony of Patiala Rural Assembly","04-Jan-2024","5000000","19-Jan-2024"
"2655","Trust and Society","WS/MP849/2023-2024/74849-Construction of rooms and halls in school and colleges","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Construction work in the school  According to the  Recommended works listed in the attachment.","04-Jan-2024","1800000","23-Feb-2024"
"2656","Normal/Others","WS/MP833/2026-2027/74895-Construction of community centers and community halls","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","Kadur/ SCP/ N.G Koppalu village of Dodda Pattanagere Village Panchayath","04-Jan-2024","1000000","15-May-2026"
"2657","Normal/Others","NA-Construction of community centers and community halls","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","Kadur /Category SCP/ Donnekorana halli of Pura village Panchayath continued work Kadur Taluk","04-Jan-2024","1000000","NA"
"2658","Normal/Others","NA-Construction of community centers and community halls","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","Kadur/ General/ hoehfhal, lfviUage of Hoehiha+llviUage- panchayath","04-Jan-2024","500000","NA"
"2659","Normal/Others","NA-Construction of community centers and community halls","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","Kadur/General/ Maravanji village, Hochihalli village panchayath","04-Jan-2024","500000","NA"
"2660","Repair and Renovation","WS/MP833/2024-2025/74899-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","Tarikere/General/ Concrete Road construction behind Govt. School at Gopala village and","04-Jan-2024","500000","01-Jul-2024"
"2661","Repair and Renovation","WS/MP833/2024-2025/74900-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","Tarikere/ TSP/ Concrete Road construction betweenWard No-13 and 3rd cross of Vijayanagara Badavane","04-Jan-2024","1000000","01-Jul-2024"
"2662","Repair and Renovation","WS/MP833/2024-2025/74901-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","Tarikere/ SCP/ Construction     of Concrete Road at Arabala  village  from   Rangappa  House to Antharaghatta    main  road","04-Jan-2024","500000","01-Jul-2024"
"2663","Normal/Others","WS/MP833/2024-2025/74902-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","Tarikere/ TSP/ Construction    of Concrete Road at Gowligara   camp  of  Baragenahalli village","04-Jan-2024","500000","01-Jul-2024"
"2664","Normal/Others","WS/MP833/2024-2025/74903-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","Tarikere/ General/ Construction of Concrete Road from Vijayanagara(OHT)main Road to government primary school at Sy No","04-Jan-2024","500000","01-Jul-2024"
"2665","Repair and Renovation","WS/MP833/2024-2025/74904-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","Chikmagalur/ General/ Development  of road from Avathf Narigudde Mallandur  connecting road","04-Jan-2024","3000000","05-Jul-2024"
"2666","Normal/Others","WS/MP833/2024-2025/74905-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","Chikmagalur/ SCP/ Development of road between BHekaUucolony & K. M. raod","04-Jan-2024","1800000","01-Aug-2024"
"2667","Normal/Others","WS/MP833/2024-2025/74906-Providing drains and gutters for public drainage","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","Chikmagalur/ SCP/ Construction of Water Drain at Ukkada village of ID Peeta village","04-Jan-2024","1500000","06-Jul-2024"
"2668","Normal/Others","WS/MP833/2023-2024/74907-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","NR Pura/ General/ Development of Carkoppa Road of Nagalapura village panchayath","04-Jan-2024","1600000","15-Mar-2024"
"2669","Repair and Renovation","WS/MP833/2024-2025/74908-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","NR Pura/ General/ Development of Road between Badru house and Mansoor house of kadlemakki of B Kanabur village panchayath","04-Jan-2024","500000","05-Jul-2024"
"2670","Repair and Renovation","WS/MP833/2024-2025/74909-Providing drains and gutters for public drainage","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","NR Pura/ General/ Construction of box drain to VT paulos house and Zevi yakoob house road","04-Jan-2024","500000","01-Aug-2024"
"2671","Normal/Others","WS/MP833/2024-2025/74910-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","NR Pura/ SCP/ Development of Eechi kere harijanwada road of Gubbiga Village Panchayath","04-Jan-2024","2000000","06-Jul-2024"
"2672","Normal/Others","WS/MP833/2024-2025/74911-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","NR Pura/ TSP/ Manabur ST Colony road development  at Huigere village panchayath","04-Jan-2024","1000000","07-Aug-2024"
"2673","Normal/Others","WS/MP838/2024-2025/74999-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Road Development","04-Jan-2024","499174","22-Jul-2024"
"2674","Normal/Others","WS/MP838/2024-2025/75008-Construction of road under bridge","Karnataka","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Construction of Road","04-Jan-2024","499174","22-Jul-2024"
"2675","Normal/Others","WS/MP887/2023-2024/75122-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","Prakrati Bharti (Panjikrat Samajik Sanstha) Gram Bendauwa, Mohanlalganj, Raibareli Road, Lucknow Campus mai Interlocking Work (20) Twenty Lakhs Rupees.","04-Jan-2024","1508273","16-Jan-2024"
"2676","Normal/Others","WS/MP145/2024-2025/75209-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","DAMRIKARAN, CC ROAD AND TILE WORK NEAR HOUSE OF KABOOL SINGH IN GANESH COLONY, ZONE-4, SANGANER, JAIPUR","04-Jan-2024","775138","31-Jul-2024"
"2677","Normal/Others","WS/MP131/2023-2024/75397-Construction of community centers and community halls","Odisha","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of Mangala Mahila Community Centre","04-Jan-2024","200000","13-Feb-2024"
"2678","Normal/Others","WS/MP131/2023-2024/75398-Construction of community centers and community halls","Odisha","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of Ghantapada Community Centre","04-Jan-2024","200000","13-Feb-2024"
"2679","Normal/Others","WS/MP131/2023-2024/75399-Construction of community centers and community halls","Odisha","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of Mission Shakti Community Centre Nukhapada","04-Jan-2024","100000","13-Feb-2024"
